"año","mes","dia","cantidad","venta"
2018,10,22,372.3,211939
2019,3,17,263.5,168690.6
2018,4,21,402.9,236434.9
2017,1,18,574.5,297720
2018,1,20,173.4,103950.6
2019,1,22,312.8,167397.1
2017,10,17,256.5,161520
2018,11,19,606.9,287430
2017,3,20,780,430186.8
2017,9,21,207,132480
2017,6,24,441,262626
2017,4,20,336,208320
2018,9,22,374,211588
2018,5,21,331.5,201376.5
2018,11,18,498.1,252999.5
2018,2,22,272,166218
2017,1,17,201,118831.2
2018,1,19,139.4,83314.4
2017,10,18,270,170640
2019,3,18,265.2,165646
2018,10,22,384.2,207105.6
2017,8,20,238.5,152640
2017,4,21,438,271560
2018,9,23,348.5,199641
2017,6,25,372,221316
2019,3,17,292.4,189229.3
2017,7,18,381,243810
2018,11,19,693.6,345775.3
2017,5,21,382.5,237150
2017,9,21,304.5,194880
2018,5,22,258.4,159035.5
2019,2,24,552.5,289100.5
2018,1,2,634.1,372134.1
2019,1,23,81.6,52947.7
2018,10,23,178.5,102238.5
2017,8,20,387,247680
2017,10,18,204,129624
2017,7,19,369,236160
2018,12,2,438.6,220629.5
2017,1,18,700.5,364815.6
2019,2,25,630.7,325015.6
2018,7,15,282.2,160308.2
2017,5,21,654,405480
2018,1,20,285.6,170523.6
2017,4,20,778.5,482670
2017,1,17,301.5,174979.2
2019,2,24,239.7,125794.5
2017,7,18,270,172800
2018,5,21,273.7,160171.7
2017,3,21,544.5,321570
2018,9,24,528.7,283436.4
2018,2,23,340,209309.1
2018,11,2,232.9,145925
2018,12,2,698.7,349976.9
2017,5,22,637.5,371992.8
2017,4,21,559.5,346890
2017,7,19,298.5,191040
2019,2,25,613.7,300667.9
2018,10,24,204,130661.7
2018,6,16,372.3,233169.3
2018,7,14,408,231804.3
2018,5,22,195.5,120010.8
2017,11,14,430.5,268287.6
2018,1,22,399.5,233511.2
2017,6,26,333,194509.2
2018,2,24,236.3,147425.2
2018,7,14,187,106538.9
2017,3,21,306,180024
2018,12,20,244.8,147960.8
2018,12,20,158.1,96642
2017,1,19,916.5,471706.8
2018,6,15,134.3,84111.3
2019,2,26,545.7,283346.7
